"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"5997"	"GPM6A"	-9.19910919511275	5.31539533279748	-232.888328830799	7.52870377045535e-21	7.54650217301843e-17
"3942"	"DIRAS2"	-7.77126891258999	4.29691864685827	-219.042800527301	1.37370586635153e-20	7.54650217301843e-17
"13837"	"SNAP25"	-9.76411965275886	7.04936074652064	-218.537839587559	1.47336888201381e-20	7.54650217301843e-17
"14314"	"STMN2"	-9.06853967024528	5.07646306795133	-214.354646798513	1.77054423673375e-20	7.54650217301843e-17
"9375"	"MOBP"	-8.06336799195802	4.4304527744097	-204.609217871164	2.79975090123262e-20	8.95558103567716e-17
"14010"	"SPARCL1"	-9.0524585079349	5.87895181094226	-199.657373585961	3.69123477669796e-20	8.95558103567716e-17
"751"	"AQP4"	-7.49554770322908	4.27783624031423	-197.971489580354	3.88877536326166e-20	8.95558103567716e-17
"13317"	"SH3GL2"	-7.26348650120753	4.82439812763207	-195.028491898411	4.51787158119591e-20	8.95558103567716e-17
"5583"	"GABRA6"	-6.77790689516968	3.70910201879898	-193.984644775171	4.72756345363918e-20	8.95558103567716e-17
"12140"	"RALYL"	-5.97478142687361	3.30865786048213	-180.233648685385	9.96401075901037e-20	1.30621881196085e-16
"13840"	"SNAP91"	-7.42425890232712	4.20405887394241	-179.457890772609	1.07245452466415e-19	1.30621881196085e-16
"10466"	"OPALIN"	-6.16940433985266	3.48511199535462	-178.12946671899	1.12907876926557e-19	1.30621881196085e-16
"9999"	"NEUROD1"	-6.46844074203807	3.54971564341726	-177.881639922221	1.15193746058391e-19	1.30621881196085e-16
"10318"	"NTRK2"	-7.00664134863553	3.88909904926017	-177.212422051165	1.21083443925933e-19	1.30621881196085e-16
"14476"	"SYT4"	-7.25707213174165	3.9623799655875	-177.13158288906	1.22304475439495e-19	1.30621881196085e-16
"2191"	"CA10"	-6.5213536390083	3.63612870019285	-176.833391969326	1.22584908155162e-19	1.30621881196085e-16
"10467"	"OPCML"	-5.95696480724943	3.35262319254374	-173.321606843003	1.49291631037667e-19	1.32818032368083e-16
"3972"	"DLG2"	-5.4929815493916	3.54173300654108	-173.046911715045	1.50608578306824e-19	1.32818032368083e-16
"5578"	"GABRA1"	-7.17966819935392	3.94324638802469	-171.970831284185	1.65805519541508e-19	1.32818032368083e-16
"3180"	"CNTN2"	-6.74951256807968	3.7958432068825	-171.530468312701	1.68746558372313e-19	1.32818032368083e-16
"14459"	"SYNPR"	-7.10239996722343	3.97987994203176	-170.626388025656	1.79538175745621e-19	1.32818032368083e-16
"11316"	"PMEL"	9.67900589341637	5.93333545340208	171.151437971394	1.84447541909186e-19	1.32818032368083e-16
"12792"	"RRM2"	6.35482140398158	3.90092512542982	169.569535432911	1.88599162879144e-19	1.32818032368083e-16
"10461"	"OMG"	-6.14393894727711	3.91853354331596	-169.014229866273	1.94346420235787e-19	1.32818032368083e-16
"6113"	"GRIA2"	-6.69132544993213	3.69235238744052	-169.151099739794	1.9475927087818e-19	1.32818032368083e-16
"9746"	"MYT1L"	-5.43540147644874	3.1882275172681	-168.124095967165	2.02844311118402e-19	1.33011256163755e-16
"11292"	"PLP1"	-6.26612510157802	8.71840367604457	-167.072251541875	2.19527037133413e-19	1.36880679156725e-16
"7510"	"KIF5C"	-6.11384436425374	5.28283053548083	-166.234245643388	2.30605120828723e-19	1.36880679156725e-16
"14417"	"SV2B"	-6.02787100090465	3.46353803226137	-166.013487091158	2.33437874289648e-19	1.36880679156725e-16
"6611"	"HOPX"	-6.98962407564927	4.06030743932852	-165.811398323776	2.40859896457373e-19	1.36880679156725e-16
"12837"	"RTN1"	-8.96421061969922	5.74393241671283	-163.935295749046	2.83261181266413e-19	1.55784512239067e-16
"12641"	"RPH3A"	-6.97934880945825	4.09045652494866	-161.529129721596	3.15683700891974e-19	1.64587949571327e-16
"13015"	"SCN2A"	-6.09168942715958	3.59956150301671	-160.804008034732	3.2504170844203e-19	1.64587949571327e-16
"4133"	"DPP6"	-5.92406235779507	4.06179685958232	-160.486420446317	3.30777743479217e-19	1.64587949571327e-16
"10272"	"NRSN1"	-6.13832671856054	3.47188203007294	-159.442603011122	3.55231946419439e-19	1.64587949571327e-16
"2533"	"CCNB2"	6.16967165849531	3.94262235394801	159.242253002986	3.60089584131707e-19	1.64587949571327e-16
"2266"	"CAMK2A"	-8.4361945319435	4.73070181240314	-159.797137862	3.64537231594747e-19	1.64587949571327e-16
"378"	"AHSG"	9.22671851231124	5.57971404547714	159.984347554443	3.66845098463864e-19	1.64587949571327e-16
"2089"	"C7orf41"	-5.57976662797356	6.59227581473756	-158.04162053406	3.85513302512853e-19	1.68528622936965e-16
"7240"	"KCNC1"	-6.24775472644622	3.62771627437482	-157.466232074501	4.0498145505134e-19	1.70031574837374e-16
"5251"	"FGF1"	-6.38692093387998	3.90026386557137	-157.35973855336	4.08897563982188e-19	1.70031574837374e-16
"6571"	"HMP19"	-7.75296370716128	4.27322812629191	-155.926144616054	4.62568439601158e-19	1.87104004788348e-16
"14466"	"SYT1"	-7.27567625705776	5.61409088617019	-155.185353949743	4.80860777736364e-19	1.87104004788348e-16
"6650"	"HPCAL4"	-6.74112483734554	4.16139106594295	-154.8829017332	4.85212265717773e-19	1.87104004788348e-16
"14635"	"TCEAL2"	-7.2399422649998	4.55917901974751	-154.627683793368	4.98726871759355e-19	1.87104004788348e-16
"13496"	"SLC24A2"	-5.62450827787799	3.21093259598113	-153.755495803947	5.12740443015306e-19	1.87104004788348e-16
"8938"	"MAPK10"	-6.10527729196835	3.88077752887782	-153.480340331019	5.26633976136432e-19	1.87104004788348e-16
"554"	"ANK2"	-5.30191076957774	4.74228656408073	-153.062357374389	5.3464822832142e-19	1.87104004788348e-16
"5982"	"GPC3"	7.44200618526534	5.36889548174775	153.339127599212	5.4621894806372e-19	1.87104004788348e-16
"5753"	"GFAP"	-11.0261318568394	6.35160838858755	-154.499529629459	5.48724279395708e-19	1.87104004788348e-16
"14384"	"SULT4A1"	-6.18299319603811	4.81833714296235	-152.313448678972	5.70712824166639e-19	1.90785939984648e-16
"1053"	"ATP2B2"	-6.65521747438455	4.0606958794047	-151.107496116113	6.25277068097314e-19	2.05006706422906e-16
"2920"	"CHGB"	-6.75238866724602	5.59442170964574	-150.795842930348	6.40026695644098e-19	2.05883304415778e-16
"13466"	"SLC17A7"	-7.55971863189897	5.55301809437895	-150.520202618851	6.63536897348212e-19	2.09493343757216e-16
"4826"	"FAM107A"	-8.26643433910704	5.20359321029744	-150.454744336467	6.77248080375234e-19	2.09934591314861e-16
