"A_1"	"A_2"	"A_3"	"A_4"	"A_5"	"B_1"	"B_2"	"B_3"	"B_4"	"B_5"
"1/2-SBSRNA4"	1.02625	0.789625	0.881328	0.815231	0.653176	0.511205	0.529534	0.44603	0.545379	0.426118
"A1BG"	1.54149	2.61057	2.46972	1.72387	4.55616	0.921029	0.863362	1.17229	1.13353	1.90104
"A1BG-AS1"	1.00741	1.02657	0.914596	0.952185	0.890337	0.833382	0.953255	0.817768	0.955507	0.634428
"A1CF"	1.66202	1.5429	1.55568	1.56678	1.73651	0.0089405	0.00747221	0.00428132	0.00382214	0.00581247
"A2LD1"	1.11356	0.952456	1.01931	1.2912	1.38667	0.690334	0.576238	0.629551	0.709585	0.791711
"A2M"	114.033	114.916	109.869	109.829	109.341	30.3897	31.053	31.2917	29.8519	29.9193
"A2ML1"	0.0370105	0.0549435	0.0320497	0.0338778	0.0448774	0.378641	0.379332	0.300879	0.360453	0.368965
"A2MP1"	0.0838956	0.0696076	0.034546	0.0692229	0.102448	0.0586995	0.0564343	0.094548	0.2025	0.0855742
"A4GALT"	1.16019	1.51417	1.73613	1.24142	3.38935	0.917038	0.762517	0.9328	1.14636	1.52338
"A4GNT"	0.0271386	0.0149565	0.0111404	0.0167386	0	0.0316039	0.0484884	0.0243465	0.0217305	0.0550901
"AA06"	0	0	0	0	0	0	0	0	0	0
"AAA1"	0.218964	0.240298	0.224832	0.297227	0.308463	0.0246185	0.0248533	0.0290834	0.0354425	0.0349636
"AAAS"	33.5659	37.3363	36.9143	34.1422	29.9862	12.8664	13.7167	12.6708	12.7589	10.2323
"AACS"	8.61572	10.2237	10.0438	8.92483	9.39336	11.9432	12.0729	11.9276	12.2171	11.3835
"AACSP1"	0.385681	0.532177	0.320741	0.513113	0.420561	0.0657568	0.0678408	0.0924247	0.0868412	0.0968628
"AADAC"	0.0906831	0.0583508	0.0620824	0.0621893	0.0629333	0	0.00675655	0	0	0.0122848
"AADACL2"	0	0	0	0	0	0.00759952	0	0	0	0
"AADACL3"	0.0196989	0.00981812	0	0.00488515	0	0	0	0	0	0
"AADACL4"	0.0154441	0	0.0126896	0	0	0	0	0	0	0
"AADAT"	3.58924	3.41268	3.42017	3.51253	3.36402	2.70577	2.72201	2.72559	2.96805	2.79415
"AAGAB"	20.9341	18.8565	20.025	20.7272	19.2836	10.7409	10.8045	11.017	10.5552	10.8122
"AAK1"	1.71615	1.62311	1.67933	1.71665	1.74687	8.874	8.75319	9.15265	8.5422	9.44336
"AAMP"	44.8014	56.8256	51.5531	50.0293	48.3438	43.0911	44.4598	40.9057	43.129	37.3662
"AANAT"	0.122035	0.0687002	0.130014	0.103531	0.158	0.111922	0.0967488	0.131572	0.169732	0.08247
"AARS"	82.0256	84.9042	80.2954	82.6161	73.2285	79.9109	82.3305	79.1902	79.7715	71.1312
"AARS2"	6.86891	7.85941	7.69429	7.04174	8.18126	4.67853	4.48929	4.48182	4.59563	4.43891
"AARSD1"	16.608	17.0498	16.1727	17.8177	14.2948	15.0163	15.7698	15.4342	15.4921	14.0719
"AASDH"	3.44594	2.97921	3.29215	3.2284	3.27383	2.75711	2.87202	2.99631	2.89621	3.06303
"AASDHPPT"	21.1019	18.2191	20.0919	20.7902	21.0285	32.9347	30.9257	34.0275	32.0848	36.1628
"AASS"	4.29191	3.71985	3.94669	3.99769	4.69988	2.92532	2.84669	3.25993	3.04453	3.31278
"AATF"	29.7623	29.2095	29.6241	30.9652	31.0255	11.3439	11.5082	11.8396	11.5374	11.8302
"AATK"	0.326456	0.489817	0.53397	0.391063	1.27424	17.1737	16.3615	16.1026	17.1909	35.9879
"AATK-AS1"	0.0308448	0.00850729	0.0126716	0.0317338	0.0107061	0.10061	0.0551649	0.138529	0.0741834	0.0376146
"ABAT"	5.46824	5.23505	5.19821	4.99163	4.99361	57.9341	59.4186	58.9387	57.4818	52.4442
"ABCA1"	2.82495	2.61355	2.84292	2.74969	3.21346	1.27278	1.27484	1.32446	1.1906	1.39419
"ABCA10"	0.0408326	0.0448294	0.0261081	0.0450532	0.0463302	0.585858	0.54466	0.609965	0.552642	0.59721
"ABCA11P"	4.13824	4.0516	4.11755	3.8761	3.66246	2.84484	3.02831	3.09678	3.10895	2.86191
"ABCA12"	0.327425	0.275691	0.325195	0.310945	0.441698	0.0154152	0.0196347	0.0184587	0.0161132	0.0155935
"ABCA13"	0.0308793	0.0253741	0.035732	0.0347266	0.039671	0.00657785	0.0057096	0.00400704	0.00545142	0.00518125
"ABCA17P"	0.0570592	0.0536933	0.0800349	0.0667915	0.0485894	0.262866	0.294851	0.213346	0.248172	0.364262
"ABCA2"	5.90879	8.51922	7.80796	6.04751	12.4024	62.8647	62.7083	59.7055	61.006	79.7947
"ABCA3"	2.21063	3.2494	3.14364	2.63902	3.70273	21.2984	21.548	20.1704	21.2284	20.6243
"ABCA4"	0.400358	0.420588	0.349741	0.380237	0.343979	0.112248	0.139821	0.13477	0.128015	0.128143
"ABCA5"	2.47774	2.29694	2.39446	2.3576	2.59603	6.6708	6.33497	6.86259	6.00495	7.38069
"ABCA6"	0.0277075	0.0187084	0.0209167	0.020946	0.0263584	1.01887	0.898044	1.11545	0.897978	1.09733
"ABCA7"	2.31447	3.0351	2.66972	2.28368	5.0998	2.17281	2.16079	2.42115	2.25852	3.14823
