SLC25A26	ENSG00000261657
HMGA1P6	ENSG00000233440
RNY3P4	ENSG00000207157
LINC00362	ENSG00000229483
RNU6-58P	ENSG00000252952
TATDN2P3	ENSG00000235205
LINC00363	ENSG00000232849
SDAD1P4	ENSG00000236803
RPLP1P13	ENSG00000232163
SACS-AS1	ENSG00000229558
HNRNPA1P29	ENSG00000235784
GPC6-AS2	ENSG00000224394
RNA5SP35	ENSG00000212559
LINC00327	ENSG00000232977
GPC6-AS1	ENSG00000236520
LINC00352	ENSG00000227893
RNA5SP36	ENSG00000222129
MTCO3P2	ENSG00000232102
RN7SL585P	ENSG00000242037
LINC00391	ENSG00000238230
SOX21-AS1	ENSG00000227640
C1QTNF9B-AS1	ENSG00000205861
BRD7P5	ENSG00000235768
RPL21P112	ENSG00000237924
LINC00557	ENSG00000260962
RNU6-62P	ENSG00000252335
RNY3P8	ENSG00000223298
ANKRD20A19P	ENSG00000196593
RNY4P27	ENSG00000200211
MEMO1P5	ENSG00000271492
CLDN10-AS1	ENSG00000223392
DNAJC3-AS1	ENSG00000247400
IPO7P2	ENSG00000225674
MTND5P2	ENSG00000229622
MIR2276	ENSG00000252695
SPATA13-AS1	ENSG00000227213
MTND6P18	ENSG00000227714
C1QTNF9-AS1	ENSG00000240868
MTCYBP3	ENSG00000232373
NUS1P3	ENSG00000234627
LINC00566	ENSG00000261498
HMGN1P24	ENSG00000226977
CYCSP33	ENSG00000233545
RN7SL164P	ENSG00000242614
AMMECR1LP1	ENSG00000233273
TPTE2P6	ENSG00000205822
HSP90AB6P	ENSG00000235137
LINC00359	ENSG00000243300
PSPC1P2	ENSG00000244615
TULP3P1	ENSG00000234267
RN7SKP7	ENSG00000222472
RNY1P7	ENSG00000207474
RPL26P34	ENSG00000225404
LINC00456	ENSG00000233124
IRX1P1	ENSG00000231417
RNA5SP37	ENSG00000202290
PSMA6P4	ENSG00000271625
ANKRD20A10P	ENSG00000226695
RPL7AP61	ENSG00000233291
TPTE2P1	ENSG00000253771
FTLP8	ENSG00000232217
RN7SKP8	ENSG00000222969
MIR3170	ENSG00000263399
SLC25A15P3	ENSG00000251299
FARP1-AS1	ENSG00000231194
RPL34P27	ENSG00000232858
STK24-AS1	ENSG00000224418
NUS1P4	ENSG00000217686
AMER2-AS1	ENSG00000234056
CYCSP35	ENSG00000233549
LINC01053	ENSG00000238169
CALM2P4	ENSG00000233662
LINC01076	ENSG00000225105
RN7SL60P	ENSG00000243366
RPL23AP69	ENSG00000235315
DOCK9-AS1	ENSG00000229918
BTC	ENSG00000261530
RPL7L1P12	ENSG00000231981
TCEB2P1	ENSG00000234152
RN7SL289P	ENSG00000265546
RNU6-83P	ENSG00000207298
RNU6-78P	ENSG00000199767
DOCK9-AS2	ENSG00000260992
RPS6P23	ENSG00000230871
RN7SL741P	ENSG00000242381
GAST	ENSG00000260334
RNY1P3	ENSG00000223158
LINC00415	ENSG00000231983
GAPDHP22	ENSG00000234005
UBAC2-AS1	ENSG00000228889
ATP8A2P3	ENSG00000233963
RN7SKP9	ENSG00000201793
H2AFZP3	ENSG00000218502
MIR623	ENSG00000207719
PRUNEP1	ENSG00000234706
HMGB3P4	ENSG00000228808
CCR12P	ENSG00000238241
PRKRIRP6	ENSG00000227882
LINC00449	ENSG00000203441
RPS3AP44	ENSG00000234031
RNY3P6	ENSG00000212197
LINC01039	ENSG00000234168
WASF3-AS1	ENSG00000237001
CFL1P8	ENSG00000234239
FGFR1OP2P1	ENSG00000230256
RPS21P8	ENSG00000223782
MIR4306	ENSG00000263615
RPS20P32	ENSG00000218198
CLYBL-AS2	ENSG00000227659
USP12-AS1	ENSG00000232162
CLYBL-AS1	ENSG00000234303
USP12-AS2	ENSG00000230641
LINC00412	ENSG00000234772
SNORD102	ENSG00000207500
LINC00554	ENSG00000260738
SNORA27	ENSG00000207051
NDUFA12P1	ENSG00000225999
RNU6-70P	ENSG00000252247
LINC01079	ENSG00000229609
ASNSP3	ENSG00000236554
RNY1P1	ENSG00000201242
RNU6-63P	ENSG00000252499
RPL15P18	ENSG00000228501
NPM1P4	ENSG00000226703
HAP1	ENSG00000261125
RNU6-73P	ENSG00000207330
PCCA-AS1	ENSG00000234650
PDX1-AS1	ENSG00000247381
LINC00543	ENSG00000260704
RN7SL272P	ENSG00000242360
KATNBL1P1	ENSG00000271026
CHCHD2P8	ENSG00000235115
RPS26P47	ENSG00000234354
PAN3-AS1	ENSG00000261485
COX5BP6	ENSG00000237082
EEF1A1P3	ENSG00000232587
RNU6-82P	ENSG00000200840
NALCN-AS1	ENSG00000233009
EIF4A1P7	ENSG00000235472
RNU6-53P	ENSG00000202237
ARF4P3	ENSG00000214051
CYP51A1P2	ENSG00000233588
LINC00411	ENSG00000229599
POM121L13P	ENSG00000236339
RNU1-24P	ENSG00000201155
MTUS2-AS2	ENSG00000236758
HMGB3P7	ENSG00000215399
MIR2681	ENSG00000265164
GAPDHP69	ENSG00000223460
LIPT1P1	ENSG00000229975
RNY1P2	ENSG00000201690
MTUS2-AS1	ENSG00000179141
MIR4705	ENSG00000264482
RPL39P29	ENSG00000236860
TIMM8BP1	ENSG00000236258
LINC00297	ENSG00000224329
FGF14-IT1	ENSG00000243319
LINC00572	ENSG00000224405
FGF14-AS1	ENSG00000234445
LINC00544	ENSG00000122043
FGF14-AS2	ENSG00000272143
LINC00555	ENSG00000261057
LINC00365	ENSG00000224511
LINC00384	ENSG00000232117
LINC00283	ENSG00000231633
LINC00385	ENSG00000232643
RNY5P8	ENSG00000222301
RNU6-64P	ENSG00000252928
METTL21EP	ENSG00000250878
PRDX2P1	ENSG00000215049
LINC00427	ENSG00000236463
ATP6V1G1P7	ENSG00000230474
RPL7P45	ENSG00000225823
DAOA-AS1	ENSG00000232307
LINC00426	ENSG00000238121
LINC00343	ENSG00000226620
LINC01058	ENSG00000225039
JUP	ENSG00000261577
UBE2L5P	ENSG00000236444
RNA5SP38	ENSG00000222682
RBM22P2	ENSG00000213411
LINC00460	ENSG00000233532
MFAP1P1	ENSG00000232489
RPL35P9	ENSG00000174418
PTPN2P2	ENSG00000224117
LINC00551	ENSG00000272274
LINC00443	ENSG00000230156
LINC00398	ENSG00000237879
ATP5G1P5	ENSG00000227590
PPIAP24	ENSG00000174408
TEX26-AS1	ENSG00000224743
MIR1267	ENSG00000221650
FAM155A-IT1	ENSG00000227248
RNA5SP39	ENSG00000223177
HCFC2P1	ENSG00000232087
MYO16-AS2	ENSG00000229938
LINC00545	ENSG00000236094
MYO16-AS1	ENSG00000236242
LINC00370	ENSG00000223617
LINC01066	ENSG00000230403
LINC01067	ENSG00000236053
MIR548X	ENSG00000265841
WDR95P	ENSG00000231894
LINC00399	ENSG00000229792
LINC00676	ENSG00000234854
PPIAP22	ENSG00000198618
ANKRD26P4	ENSG00000229427
RN7SKP10	ENSG00000201161
LINC00396	ENSG00000231428
EEF1DP3	ENSG00000229715
RN7SL783P	ENSG00000265885
COL4A2-AS2	ENSG00000224821
LINC01073	ENSG00000235822
FRY-AS1	ENSG00000237637
COL4A2-AS1	ENSG00000232814
SLC6A6P1	ENSG00000226818
IFIT1P1	ENSG00000215515
RPL21P107	ENSG00000225239
RNU1-139P	ENSG00000212609
LINC00567	ENSG00000259831
RPL37P4	ENSG00000230198
ANKRD10-IT1	ENSG00000229152
ATP8A2P2	ENSG00000229800
PARP1P1	ENSG00000227105
C1QBPP	ENSG00000215353
LINC00431	ENSG00000225760
LINC00368	ENSG00000225870
RNU6-772P	ENSG00000251851
RN7SKP147	ENSG00000252963
ARHGEF7-AS2	ENSG00000235875
RNY1P4	ENSG00000207325
FDPSP6	ENSG00000233676
LINC00423	ENSG00000226968
ARHGEF7-IT1	ENSG00000233644
KRT18P2	ENSG00000234439
ARHGEF7-AS1	ENSG00000227352
TOMM22P3	ENSG00000227604
RPS3AP1	ENSG00000233206
STARD13-IT1	ENSG00000230300
FKBP10	ENSG00000261258
LINC00354	ENSG00000226903
LINC00320	ENSG00000224924
LINC00404	ENSG00000229520
PPIAP1	ENSG00000215351
LINC00403	ENSG00000224243
LINC01070	ENSG00000260102
LINC01043	ENSG00000260343
LINC01044	ENSG00000223626
ATP11A-AS1	ENSG00000232684
LINC00317	ENSG00000238265
STARD13-AS	ENSG00000236581
IGHV1OR15-9	ENSG00000188403
MCF2L-AS1	ENSG00000235280
F10-AS1	ENSG00000231882
KARSP2	ENSG00000230371
IGHV3OR15-7	ENSG00000259490
LDHBP1	ENSG00000232662
IGHD5OR15-5A	ENSG00000270961
GRTP1-AS1	ENSG00000225083
DCUN1D2-AS	ENSG00000233613
IGHD4OR15-4A	ENSG00000271317
RNU1-16P	ENSG00000202347
LINC00552	ENSG00000227208
IGHD3OR15-3A	ENSG00000270783
GAS6-AS1	ENSG00000233695
IGHD2OR15-2A	ENSG00000271197
GAS6-AS2	ENSG00000272695
LINC00308	ENSG00000184856
IGHD1OR15-1A	ENSG00000271336
RN7SL247P	ENSG00000265259
NT5C3B	ENSG00000260753
MIR320C2	ENSG00000212051
LINC00454	ENSG00000226921
RNU5A-4P	ENSG00000252397
VDAC1P12	ENSG00000227254
LINC00452	ENSG00000229373
GOLGA6L6	ENSG00000215405
LINC00457	ENSG00000225179
LINC00565	ENSG00000260910
RNU4-45P	ENSG00000202339
RASA3-IT1	ENSG00000232487
GAMTP2	ENSG00000231910
MIR548AR	ENSG00000264539
MAPK6PS2	ENSG00000223488
MIR4502	ENSG00000265450
SCAND3P1	ENSG00000232795
CLCP2	ENSG00000226158
PHBP13	ENSG00000234835
LINC01054	ENSG00000229723
LINC00445	ENSG00000236036
RNU6-71P	ENSG00000207203
IGHV1OR21-1	ENSG00000169861
HIST1H2APS6	ENSG00000223383
GAPDHP34	ENSG00000235306
TCEAL4P1	ENSG00000223543
ARL2BPP3	ENSG00000215486
KLHL10	ENSG00000261631
POTEB2	ENSG00000230031
NDE1P2	ENSG00000271337
SMAD9-AS1	ENSG00000236711
LAMTOR3P1	ENSG00000228825
RPL29P28	ENSG00000232378
EIF4A1P5	ENSG00000226161
RN7SKP1	ENSG00000202395
RPS12P24	ENSG00000230283
LINC01048	ENSG00000230390
RN7SL609P	ENSG00000263796
RNA5SP26	ENSG00000199276
HSPD1P9	ENSG00000228036
KLHL11	ENSG00000259896
LINC00571	ENSG00000223685
ZNF299P	ENSG00000219368
LINC00437	ENSG00000236354
MSANTD2P1	ENSG00000231058
LINC00366	ENSG00000229437
RNU2-55P	ENSG00000223078
PRDX3P3	ENSG00000234701
RNU6-56P	ENSG00000252795
IGHD5OR15-5B	ENSG00000270824
FREM2-AS1	ENSG00000225350
PLA2G12AP2	ENSG00000225221
IGHD4OR15-4B	ENSG00000270451
ANKRD26P2	ENSG00000235550
EEF1A1P1	ENSG00000223822
IGHD3OR15-3B	ENSG00000271255
NXT1P1	ENSG00000214823
IGHD2OR15-2B	ENSG00000271305
MIR4305	ENSG00000264171
TUBAP	ENSG00000237569
RNY4P14	ENSG00000200526
CDKN2AIPNLP3	ENSG00000224351
SECISBP2L	ENSG00000138593
AZU1P1	ENSG00000270444
IGHD1OR15-1B	ENSG00000270185
LINC00332	ENSG00000230710
RPL17P51	ENSG00000271429
RNY3P9	ENSG00000207458
RN7SKP2	ENSG00000252812
LINC00598	ENSG00000215483
RLIMP1	ENSG00000229456
MIR320D1	ENSG00000211491
MIR621	ENSG00000207652
TPTE2P5	ENSG00000168852
POTEB	ENSG00000233917
TPTE	ENSG00000166157
ACLY	ENSG00000260245
CYCSP34	ENSG00000176268
SUGT1P3	ENSG00000239827
RGS17P1	ENSG00000229473
MIR3168	ENSG00000264226
RN7SL597P	ENSG00000244264
CALM2P3	ENSG00000215482
MORF4L1P4	ENSG00000225133
RAC1P3	ENSG00000231404
RNU6-57P	ENSG00000223280
TUBBP2	ENSG00000214222
OR7E36P	ENSG00000205240
OR7E155P	ENSG00000234655
RAC1P1	ENSG00000266520
OR7E37P	ENSG00000215480
MIR5006	ENSG00000264190
RN7SL515P	ENSG00000241406
RNU6-74P	ENSG00000206962
KARSP1	ENSG00000229696
WBP2P1	ENSG00000229248
RPS28P8	ENSG00000226093
MAPK6PS3	ENSG00000237263
RN7SL97P	ENSG00000242216
CHCHD2P11	ENSG00000270809
FHP1	ENSG00000234213
RPS24P18	ENSG00000243925
TTC25	ENSG00000260703
FABP3P2	ENSG00000233259
DHFRP1	ENSG00000188985
LINC01050	ENSG00000271216
LINC00428	ENSG00000229546
NPM1P2	ENSG00000266227
ZDHHC4P1	ENSG00000238025
FAM60BP	ENSG00000263829
LINC00400	ENSG00000229928
RPL36P19	ENSG00000232540
ENOX1-AS2	ENSG00000238189
ENOX1-AS1	ENSG00000233821
RNU6-1289P	ENSG00000207160
POTED	ENSG00000166351
LINC00284	ENSG00000233725
CIAPIN1P	ENSG00000263846
CNP	ENSG00000260283
AQP4-AS1	ENSG00000260372
DGKZP1	ENSG00000179611
LDLRAD4	ENSG00000168675
LINC00390	ENSG00000226519
SMIM2-AS1	ENSG00000227258
SMIM2-IT1	ENSG00000235285
LINC01071	ENSG00000237361
DNAJC7	ENSG00000262684
SMARCE1P5	ENSG00000230793
LIPI	ENSG00000188992
LINC00407	ENSG00000237585
LINC00330	ENSG00000235097
RN7SL49P	ENSG00000265802
RN7SKP3	ENSG00000223341
RNU6-69P	ENSG00000252055
SNORA31	ENSG00000199477
RBM11	ENSG00000185272
OR4M2	ENSG00000182974
NKIRAS2	ENSG00000260770
OR4N4	ENSG00000183706
TPT1-AS1	ENSG00000170919
IGHV1OR15-1	ENSG00000270505
IGHV4OR15-8	ENSG00000259261
HSPA13	ENSG00000155304
ZNF385C	ENSG00000260320
RCN1P2	ENSG00000214455
SLC25A30-AS1	ENSG00000251015
PPIAP25	ENSG00000229303
RNA5SP27	ENSG00000200709
GOLGA6L1	ENSG00000197414
TIMM9P3	ENSG00000232786
COX4I1P2	ENSG00000228869
LINC01055	ENSG00000235366
AKR1B1P4	ENSG00000237876
DHX58	ENSG00000260178
CPB2-AS1	ENSG00000235903
RNA5SP489	ENSG00000238627
RN7SL288P	ENSG00000240767
RN7SKP5	ENSG00000252854
FAM206BP	ENSG00000251106
LINC00563	ENSG00000261097
RNU2-6P	ENSG00000223336
RNU6-68P	ENSG00000252385
COPS2	ENSG00000166200
SAMSN1	ENSG00000155307
PPP1R2P4	ENSG00000241353
KAT2A	ENSG00000259958
OR7E101P	ENSG00000227019
COX17P1	ENSG00000205105
HSPB9	ENSG00000260325
FKBP1AP3	ENSG00000230243
HTR2A-AS1	ENSG00000224517
GNG5P5	ENSG00000234590
RN7SL700P	ENSG00000244521
NAP1L4P3	ENSG00000234145
RPL27AP8	ENSG00000229423
RAB5C	ENSG00000261378
TUBGCP5	ENSG00000153575
LINC00444	ENSG00000234689
LINC00562	ENSG00000260388
SUCLA2-AS1	ENSG00000227848
MED4-AS1	ENSG00000229111
POLR2KP2	ENSG00000224510
LINC00441	ENSG00000231473
PPP1R26P1	ENSG00000238086
PCNPP5	ENSG00000177197
LINC01077	ENSG00000233456
NRIP1	ENSG00000180530
LINC00462	ENSG00000233610
PSME2P2	ENSG00000225131
UBA52P9	ENSG00000244329
RNU6-60P	ENSG00000201662
RAD17P2	ENSG00000223724
RBM22P1	ENSG00000265097
RNY3P2	ENSG00000199788
COX7CP1	ENSG00000235957
PA2G4P3	ENSG00000263405
OGFOD1P1	ENSG00000231665
SNRPGP14	ENSG00000236577
RMDN3	ENSG00000137824
ARIH2P1	ENSG00000266296
PECAM1	ENSG00000261371
RNY4P30	ENSG00000222148
CTAGE10P	ENSG00000181358
RNU6-408P	ENSG00000251719
RNY4P9	ENSG00000200064
MIR3613	ENSG00000264864
RNU6-857P	ENSG00000251702
DLEU2	ENSG00000231607
RPL13AP7	ENSG00000213885
LINC00158	ENSG00000185433
MIR16-1	ENSG00000208006
RNU6-167P	ENSG00000207019
RPL18P10	ENSG00000214359
MIR155HG	ENSG00000234883
ST13P4	ENSG00000232150
LINC00515	ENSG00000260583
RNGTTP1	ENSG00000237731
RPL34P26	ENSG00000223676
FDX1P2	ENSG00000227054
MILR1	ENSG00000263304
RNU6-1002P	ENSG00000252379
RN7SKP44	ENSG00000200472
GCHFR	ENSG00000137880
LRRC37A7P	ENSG00000265158
DLEU7-AS1	ENSG00000237152
RNU6-123P	ENSG00000251972
RNA5SP28	ENSG00000200711
RNU6-1050P	ENSG00000222320
RNASEH2B-AS1	ENSG00000233672
RNU6-926P	ENSG00000206802
PGDP1	ENSG00000265273
POLG2	ENSG00000262917
RNA5SP453	ENSG00000199373
HNRNPA1P7	ENSG00000215492
WBP11P1	ENSG00000260389
DNAJC17	ENSG00000104129
FAM210A	ENSG00000177150
GUCY1B2	ENSG00000123201
USP25	ENSG00000155313
MIR4759	ENSG00000266133
GPX1P2	ENSG00000215326
RNA5SP29	ENSG00000222920
LINC00371	ENSG00000226792
RPL5P31	ENSG00000214878
SLMO2P2	ENSG00000271242
DDX5	ENSG00000263077
MIR5693	ENSG00000266072
ST8SIA5	ENSG00000101638
INTS6-AS1	ENSG00000236778
C21orf37	ENSG00000232560
MIR4752	ENSG00000265146
RPS4XP16	ENSG00000224892
RN7SL320P	ENSG00000243900
SNRPGP11	ENSG00000229906
MIR4703	ENSG00000266611
CEP95	ENSG00000263046
RNU6-65P	ENSG00000252141
RNY1P6	ENSG00000206920
RN7SL413P	ENSG00000242893
ATP5F1P1	ENSG00000224451
CTAGE3P	ENSG00000232872
FABP5P2	ENSG00000236044
MIR3064	ENSG00000265387
CXADR	ENSG00000154639
MIR5047	ENSG00000265492
MRPS31P5	ENSG00000243406
RNMT	ENSG00000101654
QSOX2	ENSG00000261074
PIAS2	ENSG00000078043
TPTE2P2	ENSG00000272281
GALK2	ENSG00000156958
BTG3	ENSG00000154640
EIF4A1P1	ENSG00000233300
SUMO2P15	ENSG00000271236
RPL10P1	ENSG00000217026
NCSTNP1	ENSG00000219592
C15orf62	ENSG00000188277
EPPIN-WFDC6	ENSG00000249139
LINC00113	ENSG00000225298
DOCK3	ENSG00000260587
ISCA1P4	ENSG00000259405
LINC00314	ENSG00000178457
MANF	ENSG00000259880
CYCSP2	ENSG00000259547
WFDC8	ENSG00000158901
TPM1	ENSG00000140416
FAM92A1P1	ENSG00000157021
RN7SL497P	ENSG00000240847
RBM15B	ENSG00000259956
WFDC9	ENSG00000180205
