EntrezID	GeneLength	Count
497097	3634	1
100503874	3259	0
100038431	1634	0
19888	9747	0
20671	3130	1
27395	4203	431
18777	2433	768
100503730	799	4
21399	2847	810
58175	2241	452
108664	1976	1716
18387	4707	0
226304	3692	0
12421	7046	3451
620393	858	0
240690	6161	0
319263	5232	2026
71096	4193	0
59014	2048	956
76187	3139	54
72481	1246	16
76982	3187	21
17864	3564	194
70675	5179	2390
73331	1494	3
170755	5622	87
620986	451	71
240697	2553	0
73824	407	289
266793	74	4
100038398	2646	16
100039596	501	3
69312	1502	1
26754	1240	1804
211660	4354	745
211673	7042	6696
329093	1930	2
